Date(UTC),UnixTimeStamp,eth_etherprice,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_difficulty,eth_blocks,eth_uncles,eth_blocksize,eth_blocktime,eth_gasprice,eth_gaslimit,eth_gasused,eth_ethersupply,eth_ens_register
7/30/2015,1438214400,0.0,8893,9205,72049306.5938,0.0,23.7569,0.121,6912,1299,644,4.46,0,0,0,39316.09375,
7/31/2015,1438300800,0.0,0,9361,72085498.3125,0.0,48.1584,0.603,6863,511,582,12.58,0,0,0,36191.71875,
8/1/2015,1438387200,0.0,0,9476,72113204.25,0.0,55.2709,0.887,5293,334,575,16.34,0,0,0,27705.9375,
8/2/2015,1438473600,0.0,0,9563,72141427.6875,0.0,64.1779,1.02,5358,394,581,16.12,0,0,0,28223.4375,
8/3/2015,1438560000,0.0,0,9639,72169404.4062,0.0,69.8559,1.126,5280,443,587,16.37,0,0,0,27976.71875,
8/4/2015,1438646400,0.0,0,9696,72197882.8438,0.0,76.6115,1.217,5368,458,587,16.1,0,0,0,28478.4375,
8/5/2015,1438732800,0.0,0,9749,72225411.4375,0.0,81.9449,1.328,5235,371,579,16.51,0,0,0,27528.59375,
8/6/2015,1438819200,0.0,0,9790,72252486.9062,0.0,82.9366,1.381,5116,411,584,16.89,0,0,0,27075.46875,
8/7/2015,1438905600,3.0,2050,10314,72279924.5625,216.839773688,89.6063,1.471,5189,409,633,16.65,604684154870,122980,49353826,27437.65625,
8/8/2015,1438992000,1.22,2881,10730,72307868.0,88.21559896,97.6083,1.586,5256,458,668,16.44,322713574989,1940277,376006093,27943.4375,
8/9/2015,1439078400,0.0,1329,11004,72335046.2812,0.0,102.5407,1.709,5123,421,618,16.86,475467129048,3141325,38863003,27178.28125,
8/10/2015,1439164800,0.0,2037,11679,72362863.625,0.0,113.1109,1.838,5255,415,631,16.44,421654904254,3141511,74070061,27817.34375,
8/11/2015,1439251200,0.99,4963,13576,72390891.4375,71.6669825231,126.6631,2.036,5280,438,692,16.37,77838819162,3141521,163481740,28027.8125,
8/12/2015,1439337600,1.3,2036,13913,72418262.375,94.1437410875,132.7661,2.207,5124,474,653,16.86,444902379011,3141555,70102332,27370.9375,
