Date,Open,High,Low,Close,Volume,Market Cap
"Oct 03, 2017",0.577182,0.582044,0.516038,0.561712,"13,709,400","1,604,290,000"
"Oct 02, 2017",0.618180,0.622090,0.565055,0.575398,"13,928,300","1,718,250,000"
"Oct 01, 2017",0.621750,0.628776,0.592742,0.610183,"8,576,220","1,728,170,000"
"Sep 30, 2017",0.584318,0.646884,0.576150,0.620822,"21,825,700","1,624,130,000"
"Sep 29, 2017",0.595143,0.609587,0.543016,0.584418,"16,689,800","1,654,220,000"
"Sep 28, 2017",0.549661,0.614313,0.528270,0.595896,"23,776,300","1,527,800,000"
"Sep 27, 2017",0.514224,0.554709,0.507709,0.551005,"12,188,400","1,429,300,000"
"Sep 26, 2017",0.556670,0.560043,0.507645,0.515205,"14,671,500","1,547,280,000"
"Sep 25, 2017",0.524449,0.566395,0.524449,0.556207,"10,506,400","1,457,720,000"
"Sep 24, 2017",0.540538,0.541688,0.506966,0.521379,"9,199,830","1,502,440,000"
"Sep 23, 2017",0.507613,0.551145,0.494903,0.541796,"8,486,720","1,410,930,000"
"Sep 22, 2017",0.499185,0.517458,0.476075,0.506010,"8,860,800","1,387,500,000"
"Sep 21, 2017",0.567586,0.569993,0.467953,0.500724,"18,553,300","1,577,620,000"
"Sep 20, 2017",0.559849,0.585680,0.543853,0.566627,"8,802,430","1,556,120,000"
"Sep 19, 2017",0.608275,0.614231,0.555303,0.565168,"12,972,000","1,690,720,000"
"Sep 18, 2017",0.496796,0.612485,0.496796,0.606233,"28,609,000","1,380,860,000"
"Sep 17, 2017",0.484758,0.505875,0.462614,0.497046,"7,574,760","1,347,400,000"
"Sep 16, 2017",0.479385,0.510361,0.453232,0.487239,"13,452,000","1,332,470,000"
"Sep 15, 2017",0.445700,0.509332,0.372595,0.480510,"41,983,100","1,238,840,000"
"Sep 14, 2017",0.565841,0.573630,0.445019,0.445019,"25,946,400","1,572,770,000"
"Sep 13, 2017",0.592512,0.595366,0.479349,0.556820,"31,807,500","1,646,910,000"
"Sep 12, 2017",0.561696,0.647193,0.557297,0.591949,"43,345,900","1,561,250,000"
"Sep 11, 2017",0.498380,0.558273,0.481498,0.558273,"23,660,500","1,385,260,000"
"Sep 10, 2017",0.561304,0.567870,0.462834,0.495607,"32,733,100","1,560,160,000"
"Sep 09, 2017",0.525939,0.583964,0.524823,0.560809,"15,317,400","1,461,860,000"
"Sep 08, 2017",0.648249,0.660258,0.490346,0.540475,"48,691,600","1,801,830,000"
"Sep 07, 2017",0.739668,0.739668,0.622366,0.645758,"31,377,000","2,055,930,000"
"Sep 06, 2017",0.613529,0.749172,0.601484,0.741663,"33,093,300","1,705,320,000"
"Sep 05, 2017",0.544132,0.646085,0.468949,0.613085,"45,817,500","1,512,430,000"
"Sep 04, 2017",0.744257,0.744257,0.406795,0.566472,"74,601,300","2,068,680,000"
"Sep 03, 2017",0.698855,0.775863,0.672850,0.743968,"29,504,600","1,942,490,000"
"Sep 02, 2017",0.796560,0.802464,0.658006,0.695547,"39,333,900","2,214,060,000"
"Sep 01, 2017",0.842867,0.879100,0.768119,0.807778,"28,047,000","2,342,770,000"
"Aug 31, 2017",0.869553,0.902074,0.828224,0.842424,"15,194,300","2,416,950,000"
"Aug 30, 2017",0.812777,0.878203,0.792339,0.869647,"17,428,100","2,259,140,000"
"Aug 29, 2017",0.876892,0.877578,0.746405,0.811961,"28,538,500","2,437,350,000"
"Aug 28, 2017",0.922464,0.927742,0.784779,0.875197,"24,288,200","2,564,020,000"
"Aug 27, 2017",0.962058,0.979088,0.887365,0.920351,"17,816,000","2,674,070,000"
"Aug 26, 2017",0.915926,0.970068,0.877886,0.962213,"16,623,100","2,545,840,000"
"Aug 25, 2017",0.894733,0.934651,0.837866,0.919635,"18,226,300","2,486,940,000"
"Aug 24, 2017",0.854043,0.895101,0.813880,0.895101,"17,132,900","2,373,840,000"
"Aug 23, 2017",0.842517,0.940389,0.834667,0.850371,"27,418,300","2,341,800,000"
"Aug 22, 2017",0.901778,0.901778,0.786259,0.843775,"26,333,800","2,506,520,000"
"Aug 21, 2017",0.907423,0.939166,0.843577,0.906269,"32,558,600","2,522,210,000"
"Aug 20, 2017",0.971222,1.02,0.939619,0.942205,"29,447,600","2,699,540,000"
"Aug 19, 2017",0.871580,0.985748,0.778133,0.978521,"39,975,500","2,422,580,000"
"Aug 18, 2017",1.01,1.03,0.774400,0.870147,"58,053,400","2,819,080,000"
"Aug 17, 2017",1.04,1.10,0.998241,1.02,"58,209,300","2,904,020,000"
"Aug 16, 2017",0.914727,1.05,0.878567,1.05,"52,081,500","2,542,510,000"
"Aug 15, 2017",0.977320,0.995791,0.767236,0.917949,"84,698,300","2,716,490,000"
"Aug 14, 2017",0.811738,0.976404,0.793682,0.976404,"54,630,900","2,256,250,000"
"Aug 13, 2017",0.722169,0.829530,0.715382,0.807713,"41,198,400","2,007,290,000"
"Aug 12, 2017",0.655191,0.727960,0.625521,0.721535,"20,358,000","1,821,120,000"
"Aug 11, 2017",0.565525,0.710585,0.557827,0.654872,"43,618,800","1,571,890,000"
"Aug 10, 2017",0.535805,0.588071,0.513250,0.566456,"16,602,500","1,489,290,000"
"Aug 09, 2017",0.547121,0.555125,0.512566,0.543328,"13,294,400","1,520,740,000"
"Aug 08, 2017",0.473874,0.550880,0.458992,0.547637,"21,988,500","1,317,150,000"
"Aug 07, 2017",0.430804,0.491028,0.418088,0.474577,"14,717,700","1,197,430,000"
"Aug 06, 2017",0.407690,0.440193,0.396851,0.431142,"6,276,510","1,133,190,000"
"Aug 05, 2017",0.393176,0.427798,0.364083,0.407980,"9,091,140","1,092,850,000"
"Aug 04, 2017",0.332239,0.420252,0.332239,0.391286,"20,179,000","923,468,000"
"Aug 03, 2017",0.286578,0.336844,0.284765,0.332352,"8,239,810","796,552,000"
"Aug 02, 2017",0.290135,0.293039,0.272032,0.286116,"3,439,800","806,440,000"
"Aug 01, 2017",0.256665,0.296267,0.249623,0.290220,"5,169,910","713,408,000"
"Jul 31, 2017",0.255064,0.259810,0.245768,0.254732,"2,563,820","708,959,000"
"Jul 30, 2017",0.277339,0.279401,0.252831,0.254785,"3,165,840","770,872,000"
"Jul 29, 2017",0.266567,0.277226,0.245848,0.275190,"2,788,270","740,931,000"
"Jul 28, 2017",0.274876,0.278459,0.262736,0.265118,"2,884,740","764,026,000"
"Jul 27, 2017",0.276850,0.285551,0.275467,0.275467,"3,343,540","769,512,000"
"Jul 26, 2017",0.250571,0.283478,0.241237,0.274598,"4,626,790","696,469,000"
"Jul 25, 2017",0.266827,0.269072,0.237998,0.250453,"2,917,500","741,654,000"
"Jul 24, 2017",0.265136,0.273468,0.242731,0.266447,"4,502,060","736,952,000"
"Jul 23, 2017",0.273693,0.280241,0.258485,0.269072,"3,065,860","760,738,000"
"Jul 22, 2017",0.263390,0.278936,0.254406,0.273382,"4,107,430","732,099,000"
"Jul 21, 2017",0.294760,0.305506,0.257626,0.264134,"6,344,870","819,295,000"
"Jul 20, 2017",0.233503,0.298253,0.232192,0.292460,"10,332,500","649,028,000"
"Jul 19, 2017",0.268162,0.284031,0.230686,0.232212,"6,339,730","745,365,000"
"Jul 18, 2017",0.264569,0.309577,0.248754,0.267340,"11,433,600","735,378,000"
"Jul 17, 2017",0.180717,0.278088,0.179114,0.263105,"15,254,300","502,309,000"
"Jul 16, 2017",0.157961,0.185445,0.155173,0.180978,"4,178,170","439,057,000"
"Jul 15, 2017",0.175237,0.176099,0.147933,0.158688,"3,913,220","487,076,000"
"Jul 14, 2017",0.212999,0.214112,0.161877,0.175350,"3,347,860","592,038,000"
"Jul 13, 2017",0.229099,0.238625,0.194249,0.214589,"4,129,150","636,787,000"
"Jul 12, 2017",0.191125,0.237362,0.183955,0.228758,"4,646,480","531,237,000"
"Jul 11, 2017",0.214742,0.231574,0.185681,0.187596,"6,946,200","596,881,000"
"Jul 10, 2017",0.304476,0.304476,0.190539,0.217061,"8,233,640","846,301,000"
"Jul 09, 2017",0.297377,0.312770,0.285475,0.302889,"2,474,500","826,569,000"
"Jul 08, 2017",0.286164,0.320908,0.281393,0.305515,"3,273,950","795,402,000"
"Jul 07, 2017",0.355803,0.355994,0.271859,0.284565,"8,804,780","988,966,000"
"Jul 06, 2017",0.380253,0.382865,0.317295,0.353880,"8,218,370","1,056,920,000"
"Jul 05, 2017",0.396273,0.400841,0.371809,0.380130,"3,061,100","1,101,450,000"
"Jul 04, 2017",0.374900,0.410698,0.373865,0.396390,"3,933,710","1,042,050,000"
"Jul 03, 2017",0.379055,0.384955,0.356024,0.376139,"3,873,180","1,053,600,000"
"Jul 02, 2017",0.391880,0.396890,0.366798,0.382249,"2,971,770","1,089,240,000"
"Jul 01, 2017",0.402295,0.414192,0.381489,0.389630,"2,334,640","1,118,190,000"
"Jun 30, 2017",0.417167,0.453008,0.398195,0.401591,"5,044,270","1,159,530,000"
"Jun 29, 2017",0.375767,0.459387,0.361568,0.417798,"5,324,020","1,044,460,000"
"Jun 28, 2017",0.399874,0.399874,0.357338,0.379136,"4,704,400","1,111,460,000"
"Jun 27, 2017",0.411989,0.420035,0.353549,0.392269,"4,411,090","1,145,140,000"
"Jun 26, 2017",0.470192,0.473662,0.351156,0.402438,"9,101,080","1,306,910,000"
"Jun 25, 2017",0.514185,0.525564,0.454951,0.470941,"5,012,890","1,429,190,000"
"Jun 24, 2017",0.482769,0.635612,0.482769,0.512910,"19,215,500","1,341,870,000"
"Jun 23, 2017",0.417769,0.480910,0.408405,0.480910,"3,768,560","1,161,200,000"
"Jun 22, 2017",0.413371,0.427283,0.407261,0.417742,"2,343,320","1,148,980,000"
"Jun 21, 2017",0.419439,0.437340,0.405037,0.413547,"3,999,810","1,165,840,000"
"Jun 20, 2017",0.414299,0.422032,0.398649,0.418494,"3,755,470","1,151,560,000"
"Jun 19, 2017",0.405456,0.420990,0.388231,0.412183,"3,543,640","1,126,980,000"
"Jun 18, 2017",0.420597,0.426069,0.393790,0.405862,"2,514,450","1,169,060,000"
"Jun 17, 2017",0.426762,0.444205,0.414139,0.419906,"3,100,660","1,186,200,000"
"Jun 16, 2017",0.353285,0.448249,0.309852,0.410757,"6,920,690","981,966,000"
"Jun 15, 2017",0.528284,0.543165,0.300365,0.363661,"10,300,400","1,468,380,000"
"Jun 14, 2017",0.592347,0.606196,0.495745,0.528916,"14,194,900","1,646,450,000"
"Jun 13, 2017",0.638503,0.652862,0.533910,0.590255,"25,425,600","1,774,740,000"
