Date,Open,High,Low,Close,Volume,Market Cap
"Oct 03, 2017",0.231024,0.234681,0.220736,0.222740,"3,327,450","2,079,210,000"
"Oct 02, 2017",0.245185,0.245379,0.229043,0.231441,"3,983,190","2,206,660,000"
"Oct 01, 2017",0.235614,0.246768,0.230906,0.246180,"4,232,170","2,120,520,000"
"Sep 30, 2017",0.236294,0.238731,0.231777,0.235162,"3,376,060","2,126,640,000"
"Sep 29, 2017",0.238155,0.239069,0.220942,0.237538,"5,254,500","2,143,400,000"
"Sep 28, 2017",0.243626,0.244629,0.234775,0.238268,"3,738,470","2,192,630,000"
"Sep 27, 2017",0.228100,0.246097,0.227535,0.243301,"3,733,480","2,052,900,000"
"Sep 26, 2017",0.232249,0.233270,0.225479,0.228646,"2,282,950","2,090,240,000"
"Sep 25, 2017",0.216117,0.234793,0.215455,0.232506,"2,800,870","1,945,050,000"
"Sep 24, 2017",0.221619,0.222573,0.213723,0.216154,"2,016,530","1,994,570,000"
"Sep 23, 2017",0.209955,0.223213,0.208390,0.222205,"1,997,070","1,889,590,000"
"Sep 22, 2017",0.211115,0.221398,0.202801,0.210635,"2,929,650","1,900,040,000"
"Sep 21, 2017",0.230329,0.232441,0.207507,0.210871,"3,361,070","2,072,960,000"
"Sep 20, 2017",0.237940,0.238537,0.230744,0.231746,"3,008,920","2,141,460,000"
"Sep 19, 2017",0.249597,0.253409,0.233149,0.237664,"5,278,220","2,246,370,000"
"Sep 18, 2017",0.204058,0.249752,0.203937,0.248516,"6,232,240","1,836,520,000"
"Sep 17, 2017",0.207979,0.208270,0.193608,0.204067,"4,402,470","1,871,810,000"
"Sep 16, 2017",0.211927,0.225758,0.194760,0.207831,"5,334,960","1,907,340,000"
"Sep 15, 2017",0.164483,0.220357,0.162399,0.211752,"13,231,800","1,480,350,000"
"Sep 14, 2017",0.233723,0.236688,0.164254,0.164254,"7,570,880","2,103,510,000"
"Sep 13, 2017",0.247999,0.248191,0.210855,0.233825,"9,181,580","2,231,990,000"
"Sep 12, 2017",0.251443,0.266750,0.246736,0.249074,"3,902,820","2,262,990,000"
"Sep 11, 2017",0.256016,0.269572,0.250612,0.252026,"3,639,410","2,304,150,000"
"Sep 10, 2017",0.266973,0.267149,0.241617,0.256975,"6,543,570","2,402,760,000"
"Sep 09, 2017",0.267915,0.275212,0.255970,0.267264,"4,871,730","2,411,240,000"
"Sep 08, 2017",0.292974,0.300808,0.255711,0.268641,"6,704,690","2,636,760,000"
"Sep 07, 2017",0.301906,0.301906,0.289956,0.293376,"4,079,350","2,717,150,000"
"Sep 06, 2017",0.287124,0.314433,0.287124,0.301941,"4,629,700","2,584,110,000"
"Sep 05, 2017",0.276383,0.292048,0.250638,0.286227,"7,635,410","2,487,450,000"
"Sep 04, 2017",0.307735,0.310661,0.256488,0.273220,"9,299,200","2,769,620,000"
"Sep 03, 2017",0.298170,0.320628,0.285382,0.307264,"7,413,990","2,683,530,000"
"Sep 02, 2017",0.331627,0.332056,0.283507,0.295884,"9,560,410","2,984,640,000"
"Sep 01, 2017",0.336602,0.337780,0.312575,0.332310,"12,082,700","3,029,420,000"
"Aug 31, 2017",0.295006,0.349178,0.294677,0.337213,"22,669,900","2,655,060,000"
"Aug 30, 2017",0.282948,0.298444,0.281908,0.295817,"8,605,120","2,546,530,000"
"Aug 29, 2017",0.280268,0.287156,0.278896,0.283717,"7,845,260","2,522,410,000"
"Aug 28, 2017",0.274706,0.288868,0.271786,0.278257,"9,644,680","2,472,360,000"
"Aug 27, 2017",0.270562,0.280701,0.264681,0.274641,"8,192,460","2,435,060,000"
"Aug 26, 2017",0.269620,0.276365,0.260447,0.268393,"7,902,690","2,426,580,000"
"Aug 25, 2017",0.262673,0.285780,0.256545,0.270482,"8,676,560","2,364,060,000"
"Aug 24, 2017",0.250082,0.270494,0.248789,0.265512,"10,249,000","2,250,740,000"
"Aug 23, 2017",0.253980,0.258227,0.239639,0.249603,"8,303,140","2,285,820,000"
"Aug 22, 2017",0.254965,0.262755,0.239185,0.254089,"10,350,500","2,294,690,000"
"Aug 21, 2017",0.271799,0.293674,0.239623,0.252456,"13,775,000","2,446,190,000"
"Aug 20, 2017",0.254106,0.308286,0.253636,0.271441,"13,189,900","2,286,960,000"
"Aug 19, 2017",0.242342,0.268660,0.227810,0.256137,"9,197,000","2,181,080,000"
"Aug 18, 2017",0.244020,0.258577,0.233091,0.243244,"7,653,200","2,196,180,000"
"Aug 17, 2017",0.256625,0.261976,0.240417,0.244955,"6,487,950","2,309,620,000"
"Aug 16, 2017",0.249098,0.271480,0.246080,0.258012,"10,039,900","2,241,880,000"
"Aug 15, 2017",0.256281,0.256357,0.224459,0.247928,"12,637,400","2,306,530,000"
"Aug 14, 2017",0.256873,0.271702,0.230571,0.256048,"12,505,500","2,311,850,000"
"Aug 13, 2017",0.277406,0.280045,0.252924,0.257339,"8,310,080","2,496,650,000"
"Aug 12, 2017",0.293965,0.296601,0.270816,0.278085,"6,159,860","2,645,690,000"
"Aug 11, 2017",0.293714,0.299878,0.279191,0.295213,"8,241,000","2,643,420,000"
"Aug 10, 2017",0.278902,0.298721,0.278217,0.294135,"11,712,700","2,510,120,000"
"Aug 09, 2017",0.274303,0.281374,0.256870,0.279883,"10,081,100","2,468,730,000"
"Aug 08, 2017",0.281566,0.304006,0.255855,0.275143,"21,374,100","2,534,090,000"
"Aug 07, 2017",0.251203,0.286137,0.247398,0.280321,"23,044,000","2,260,820,000"
"Aug 06, 2017",0.229195,0.248318,0.221731,0.248318,"5,886,540","2,062,750,000"
"Aug 05, 2017",0.224013,0.235452,0.221933,0.228656,"7,322,590","2,016,120,000"
"Aug 04, 2017",0.227617,0.231129,0.212356,0.224240,"7,870,620","2,048,550,000"
"Aug 03, 2017",0.221187,0.242042,0.214465,0.226890,"14,302,400","1,990,690,000"
"Aug 02, 2017",0.181929,0.223149,0.181929,0.219719,"14,489,000","1,637,360,000"
"Aug 01, 2017",0.165605,0.181925,0.162108,0.181054,"3,956,940","1,490,440,000"
"Jul 31, 2017",0.160815,0.167028,0.159838,0.165068,"2,892,660","1,447,330,000"
"Jul 30, 2017",0.170664,0.173171,0.160306,0.160500,"2,475,570","1,535,980,000"
"Jul 29, 2017",0.165367,0.170197,0.157418,0.170197,"2,496,500","1,488,300,000"
"Jul 28, 2017",0.171214,0.174978,0.159316,0.165774,"5,062,930","1,540,930,000"
"Jul 27, 2017",0.156868,0.176017,0.156234,0.170475,"5,341,670","1,411,810,000"
"Jul 26, 2017",0.157898,0.162653,0.147928,0.156463,"2,508,770","1,421,080,000"
"Jul 25, 2017",0.169655,0.178049,0.144687,0.158206,"6,075,320","1,526,900,000"
"Jul 24, 2017",0.165990,0.169717,0.158776,0.169644,"2,995,870","1,493,910,000"
"Jul 23, 2017",0.176729,0.183786,0.155718,0.166136,"5,915,450","1,590,560,000"
"Jul 22, 2017",0.143531,0.177907,0.142594,0.176768,"5,211,550","1,291,780,000"
"Jul 21, 2017",0.153860,0.154725,0.138796,0.143792,"2,788,780","1,384,740,000"
"Jul 20, 2017",0.126759,0.160815,0.126759,0.152087,"3,545,910","1,140,830,000"
"Jul 19, 2017",0.131952,0.137796,0.123911,0.126825,"2,800,440","1,187,570,000"
"Jul 18, 2017",0.135869,0.143669,0.117831,0.132327,"5,351,550","1,222,820,000"
"Jul 17, 2017",0.097432,0.133729,0.097432,0.133729,"4,458,730","876,887,000"
"Jul 16, 2017",0.111093,0.113553,0.090656,0.097294,"2,583,610","999,834,000"
"Jul 15, 2017",0.117492,0.117726,0.105906,0.111478,"3,213,760","1,057,430,000"
"Jul 14, 2017",0.122708,0.124328,0.110816,0.117498,"2,077,230","1,104,370,000"
"Jul 13, 2017",0.134372,0.140788,0.115842,0.122953,"3,135,620","1,209,350,000"
"Jul 12, 2017",0.117615,0.134940,0.113056,0.133841,"3,307,920","1,058,530,000"
"Jul 11, 2017",0.134770,0.139311,0.114620,0.119303,"4,746,410","1,212,930,000"
