Date,Open,High,Low,Close,Volume,Market Cap
"Oct 03, 2017",36.65,36.79,32.01,33.61,"74,199,600","1,832,530,000"
"Oct 02, 2017",35.70,39.01,34.90,36.74,"116,098,000","1,785,160,000"
"Oct 01, 2017",34.12,35.83,31.82,35.72,"72,169,500","1,705,880,000"
"Sep 30, 2017",28.59,34.24,28.45,34.21,"82,181,600","1,429,500,000"
"Sep 29, 2017",30.25,30.41,26.13,28.64,"72,558,300","1,512,530,000"
"Sep 28, 2017",31.78,32.69,27.68,29.76,"101,195,000","1,589,170,000"
"Sep 27, 2017",26.32,34.03,26.32,31.79,"163,163,000","1,316,040,000"
"Sep 26, 2017",26.12,27.30,24.46,26.38,"65,868,600","1,305,990,000"
"Sep 25, 2017",19.80,27.08,19.80,26.02,"81,225,500","989,892,000"
"Sep 24, 2017",20.17,20.43,19.28,19.79,"11,967,200","1,008,660,000"
"Sep 23, 2017",18.58,20.59,18.30,20.18,"17,216,800","929,086,000"
"Sep 22, 2017",17.39,19.32,16.98,18.69,"22,480,200","869,657,000"
"Sep 21, 2017",19.65,19.82,16.75,17.45,"21,587,400","982,515,000"
"Sep 20, 2017",19.90,20.47,19.69,19.75,"14,058,200","995,012,000"
"Sep 19, 2017",20.99,21.71,19.04,19.94,"30,451,900","1,049,420,000"
"Sep 18, 2017",19.91,21.38,19.54,21.22,"27,647,600","995,579,000"
"Sep 17, 2017",20.64,20.64,18.36,19.86,"18,695,100","1,031,920,000"
"Sep 16, 2017",18.75,22.98,18.50,20.76,"50,210,000","937,288,000"
"Sep 15, 2017",15.81,19.12,13.32,18.74,"50,811,700","790,612,000"
"Sep 14, 2017",20.08,20.75,14.95,15.69,"42,221,500","1,004,180,000"
"Sep 13, 2017",20.83,21.29,17.80,20.06,"37,258,400","1,041,450,000"
"Sep 12, 2017",21.87,23.60,19.86,20.97,"40,702,300","1,093,590,000"
"Sep 11, 2017",22.68,23.97,21.70,21.88,"27,835,300","1,133,790,000"
"Sep 10, 2017",21.76,23.64,19.37,22.75,"54,002,500","1,088,180,000"
"Sep 09, 2017",24.63,24.63,21.55,21.96,"47,199,500","1,231,580,000"
"Sep 08, 2017",30.59,30.59,22.41,24.86,"112,252,000","1,529,630,000"
"Sep 07, 2017",21.30,33.55,20.54,30.78,"214,001,000","1,065,110,000"
"Sep 06, 2017",22.97,24.32,20.30,21.36,"77,746,300","1,148,320,000"
"Sep 05, 2017",21.88,23.85,18.93,22.80,"91,402,300","1,093,860,000"
"Sep 04, 2017",30.44,30.44,17.40,21.83,"189,917,000","1,522,090,000"
"Sep 03, 2017",31.77,32.65,28.58,30.32,"43,232,300","1,588,690,000"
"Sep 02, 2017",31.69,34.81,28.55,31.72,"92,722,600","1,584,390,000"
"Sep 01, 2017",33.17,33.57,28.87,32.01,"75,418,900","1,658,680,000"
"Aug 31, 2017",32.93,35.09,32.60,33.16,"49,957,300","1,646,720,000"
"Aug 30, 2017",33.48,35.84,29.71,33.10,"97,289,600","1,673,910,000"
"Aug 29, 2017",38.46,38.46,30.69,33.66,"168,534,000","1,922,840,000"
"Aug 28, 2017",40.23,40.31,37.38,38.45,"41,401,000","2,011,600,000"
