Date,Open,High,Low,Close,Volume,Market Cap
"Oct 03, 2017",14.95,15.10,13.39,13.81,"149,112","18,683,000"
"Oct 02, 2017",16.36,16.92,13.96,14.79,"467,244","20,440,100"
"Oct 01, 2017",14.72,17.08,13.45,16.36,"298,959","18,394,200"
"Sep 30, 2017",14.73,15.57,14.54,14.56,"69,376","18,409,000"
"Sep 29, 2017",15.41,15.42,14.08,14.73,"135,492","19,254,500"
"Sep 28, 2017",17.02,17.05,14.99,15.42,"125,586","21,268,800"
"Sep 27, 2017",15.03,17.19,14.70,16.91,"277,008","18,785,600"
"Sep 26, 2017",15.38,15.73,14.77,15.15,"143,434","19,222,600"
"Sep 25, 2017",15.53,16.09,14.24,15.34,"287,753","19,416,300"
"Sep 24, 2017",13.73,16.62,13.20,15.53,"686,526","17,157,200"
"Sep 23, 2017",13.00,14.00,12.79,13.73,"124,841","16,252,500"
"Sep 22, 2017",13.15,13.91,12.73,13.16,"55,768","16,441,500"
"Sep 21, 2017",15.15,15.15,12.78,13.17,"170,853","18,936,100"
"Sep 20, 2017",15.58,16.12,14.75,15.22,"160,192","19,478,000"
"Sep 19, 2017",17.00,17.00,15.31,15.60,"149,142","21,252,800"
"Sep 18, 2017",16.56,17.95,15.42,16.96,"219,636","20,703,500"
"Sep 17, 2017",15.52,16.81,14.72,16.59,"74,804","19,409,800"
"Sep 16, 2017",17.03,17.03,14.92,15.54,"106,754","21,290,500"
"Sep 15, 2017",13.53,17.18,12.28,17.07,"229,961","16,919,700"
"Sep 14, 2017",17.15,17.49,13.43,13.43,"208,388","21,435,700"
"Sep 13, 2017",18.93,18.93,15.94,17.12,"311,553","23,673,000"
"Sep 12, 2017",19.24,20.09,17.44,19.09,"398,928","24,063,900"
"Sep 11, 2017",21.48,21.48,18.04,18.98,"335,702","26,868,700"
"Sep 10, 2017",23.04,27.28,19.26,21.24,"1,448,320","28,821,700"
"Sep 09, 2017",19.17,25.34,17.42,22.97,"1,345,530","23,977,600"
"Sep 08, 2017",21.53,23.25,18.28,19.13,"305,855","26,935,100"
"Sep 07, 2017",22.34,23.16,20.41,21.53,"262,532","27,947,600"
"Sep 06, 2017",21.64,26.31,20.75,22.38,"473,273","27,076,900"
"Sep 05, 2017",20.87,23.62,18.91,21.53,"349,885","26,115,800"
"Sep 04, 2017",26.91,27.34,17.99,20.74,"716,231","33,673,500"
"Sep 03, 2017",27.70,29.36,24.99,26.90,"493,926","34,662,300"
"Sep 02, 2017",32.49,33.01,26.79,27.24,"633,861","40,658,600"
"Sep 01, 2017",35.67,35.90,31.35,32.45,"1,024,920","44,636,600"
"Aug 31, 2017",35.78,36.60,34.27,35.62,"452,411","44,776,600"
"Aug 30, 2017",34.89,38.40,34.61,35.84,"549,569","43,694,000"
"Aug 29, 2017",36.12,36.84,34.43,34.92,"489,247","45,236,000"
"Aug 28, 2017",35.56,36.20,34.11,36.07,"402,594","44,537,800"
"Aug 27, 2017",35.16,36.33,34.05,35.53,"372,296","44,033,500"
"Aug 26, 2017",35.31,37.01,33.54,34.93,"363,769","44,220,200"
"Aug 25, 2017",35.51,37.67,32.94,35.24,"845,188","44,468,400"
"Aug 24, 2017",35.60,37.29,34.84,35.39,"466,415","44,577,800"
"Aug 23, 2017",35.53,38.34,34.85,36.49,"443,443","44,506,600"
"Aug 22, 2017",34.75,37.23,31.91,35.61,"561,611","43,526,300"
"Aug 21, 2017",42.41,48.73,33.48,34.58,"2,145,180","53,121,100"
"Aug 20, 2017",34.73,43.36,32.52,42.53,"1,894,140","43,499,200"
"Aug 19, 2017",35.56,37.01,31.60,34.84,"582,704","44,542,600"
"Aug 18, 2017",34.17,39.43,31.88,35.03,"1,612,640","42,797,100"
"Aug 17, 2017",33.79,36.14,31.85,33.92,"739,864","42,325,000"
"Aug 16, 2017",31.27,37.92,30.37,33.62,"864,797","39,176,900"
"Aug 15, 2017",34.85,36.10,30.67,31.23,"763,238","43,659,400"
"Aug 14, 2017",36.80,38.09,32.76,34.65,"763,860","46,104,500"
