Date,Open,High,Low,Close,Volume,Market Cap
"Oct 03, 2017",9.19,9.27,8.53,9.24,"35,595,500","903,903,000"
"Oct 02, 2017",9.82,9.99,9.07,9.20,"36,673,900","965,225,000"
"Oct 01, 2017",10.11,10.15,9.57,9.82,"21,494,500","994,233,000"
"Sep 30, 2017",9.74,10.27,9.68,10.12,"26,871,400","957,899,000"
"Sep 29, 2017",10.47,10.58,9.19,9.75,"51,306,900","1,029,050,000"
"Sep 28, 2017",10.35,11.48,10.07,10.49,"66,693,200","1,017,090,000"
"Sep 27, 2017",9.78,10.52,9.77,10.34,"38,915,800","961,863,000"
"Sep 26, 2017",10.01,10.27,9.69,9.76,"26,920,700","984,356,000"
"Sep 25, 2017",8.66,10.38,8.63,10.00,"59,857,600","851,863,000"
"Sep 24, 2017",9.01,9.12,8.53,8.66,"19,730,500","885,388,000"
"Sep 23, 2017",8.66,9.36,8.43,9.03,"28,436,100","851,587,000"
"Sep 22, 2017",8.13,8.96,7.93,8.65,"42,277,500","799,239,000"
"Sep 21, 2017",9.12,9.39,7.75,8.12,"51,911,500","897,056,000"
"Sep 20, 2017",9.92,9.95,9.11,9.11,"36,072,700","975,691,000"
"Sep 19, 2017",11.00,11.03,9.68,9.92,"38,392,200","1,081,420,000"
"Sep 18, 2017",9.88,11.34,9.88,10.98,"54,086,300","971,499,000"
"Sep 17, 2017",9.90,10.31,8.98,9.87,"40,154,600","973,696,000"
"Sep 16, 2017",9.96,10.65,9.34,9.93,"66,155,100","979,204,000"
"Sep 15, 2017",8.13,10.39,6.57,9.95,"156,528,000","798,813,000"
"Sep 14, 2017",10.58,11.06,7.67,8.08,"95,558,500","1,040,220,000"
"Sep 13, 2017",11.68,11.70,9.55,10.61,"85,896,500","1,148,450,000"
"Sep 12, 2017",11.37,13.45,11.21,11.59,"130,591,000","1,117,370,000"
"Sep 11, 2017",11.42,11.98,11.09,11.33,"37,733,800","1,122,960,000"
