Date,Open,High,Low,Close,Volume,Market Cap
"Oct 03, 2017",11.91,12.12,10.78,12.12,"95,756,400","702,872,000"
"Oct 02, 2017",12.36,12.38,11.43,11.88,"69,789,000","729,062,000"
"Oct 01, 2017",11.59,12.61,11.58,12.34,"162,762,000","683,566,000"
"Sep 30, 2017",9.77,11.65,9.75,11.59,"141,320,000","576,371,000"
"Sep 29, 2017",9.96,10.00,9.15,9.77,"79,526,300","587,845,000"
"Sep 28, 2017",9.95,10.10,9.06,9.93,"95,333,300","586,983,000"
"Sep 27, 2017",9.37,9.90,9.35,9.90,"59,847,700","552,811,000"
"Sep 26, 2017",9.38,10.30,9.17,9.34,"104,988,000","553,598,000"
"Sep 25, 2017",8.03,9.60,8.03,9.36,"82,385,100","473,818,000"
"Sep 24, 2017",8.10,8.28,7.79,8.04,"28,266,800","477,945,000"
"Sep 23, 2017",7.70,8.21,7.48,8.11,"40,760,800","454,162,000"
"Sep 22, 2017",7.34,7.91,7.27,7.68,"42,861,600","433,000,000"
"Sep 21, 2017",8.77,8.81,7.34,7.38,"38,239,000","517,612,000"
"Sep 20, 2017",8.92,9.05,8.47,8.79,"38,916,900","526,414,000"
"Sep 19, 2017",9.65,9.70,8.75,8.91,"66,250,600","569,633,000"
"Sep 18, 2017",8.31,10.51,8.31,9.62,"167,586,000","490,417,000"
"Sep 17, 2017",8.19,8.79,7.59,8.27,"69,847,200","482,927,000"
"Sep 16, 2017",8.49,8.97,7.44,8.25,"97,992,200","500,809,000"
"Sep 15, 2017",7.72,9.31,5.91,8.47,"242,984,000","455,212,000"
"Sep 14, 2017",11.94,12.18,7.60,7.60,"137,040,000","704,415,000"
"Sep 13, 2017",13.45,13.53,11.60,11.94,"185,348,000","793,825,000"
"Sep 12, 2017",14.38,15.31,12.86,13.51,"156,187,000","848,364,000"
"Sep 11, 2017",12.64,14.79,12.55,14.28,"165,283,000","745,787,000"
"Sep 10, 2017",13.27,13.34,11.38,12.78,"172,687,000","783,150,000"
"Sep 09, 2017",13.40,13.63,12.46,13.32,"99,008,100","790,322,000"
"Sep 08, 2017",14.74,16.07,12.44,13.50,"294,169,000","869,878,000"
"Sep 07, 2017",11.40,14.77,10.69,14.74,"195,986,000","672,888,000"
"Sep 06, 2017",11.73,12.49,10.34,11.40,"141,347,000","691,921,000"
"Sep 05, 2017",11.07,12.07,8.77,11.71,"218,917,000","653,177,000"
"Sep 04, 2017",15.29,15.44,10.22,10.98,"161,203,000","902,407,000"
"Sep 03, 2017",16.41,16.74,14.19,15.29,"98,105,400","967,971,000"
"Sep 02, 2017",18.26,19.06,15.51,16.39,"123,479,000","1,077,370,000"
"Sep 01, 2017",17.30,18.47,16.94,18.26,"73,618,500","1,020,980,000"
"Aug 31, 2017",16.72,18.08,16.69,17.30,"76,872,500","986,295,000"
"Aug 30, 2017",19.05,19.05,14.58,16.84,"145,512,000","1,124,200,000"
"Aug 29, 2017",16.28,20.04,16.28,19.15,"216,784,000","960,486,000"
"Aug 28, 2017",15.66,16.35,14.86,16.24,"82,850,200","923,722,000"
"Aug 27, 2017",15.42,15.86,14.74,15.70,"56,474,400","909,788,000"
"Aug 26, 2017",13.26,15.89,12.97,15.41,"88,172,500","782,374,000"
"Aug 25, 2017",13.75,13.85,12.85,13.32,"26,327,100","811,035,000"
"Aug 24, 2017",11.87,14.13,11.64,13.78,"72,955,500","700,167,000"
"Aug 23, 2017",11.05,12.47,11.04,11.90,"36,722,000","651,839,000"
"Aug 22, 2017",11.20,11.41,10.17,11.06,"25,086,300","660,585,000"
"Aug 21, 2017",11.80,11.87,10.82,11.23,"29,380,800","696,434,000"
"Aug 20, 2017",11.54,12.35,10.82,11.79,"40,638,800","680,885,000"
"Aug 19, 2017",11.62,12.36,9.69,11.64,"54,327,300","685,316,000"
