Date,Open,High,Low,Close,Volume,Market Cap
"Oct 03, 2017",0.203209,0.204808,0.198730,0.203318,"48,703,100","7,791,820,000"
"Oct 02, 2017",0.206077,0.206556,0.199444,0.202676,"77,412,300","7,901,790,000"
"Oct 01, 2017",0.197622,0.207185,0.196170,0.206532,"51,345,500","7,577,590,000"
"Sep 30, 2017",0.193824,0.199826,0.193497,0.197529,"54,729,300","7,431,970,000"
"Sep 29, 2017",0.196105,0.196203,0.187172,0.193606,"72,291,200","7,519,420,000"
"Sep 28, 2017",0.202532,0.203271,0.191344,0.196131,"117,962,000","7,765,860,000"
"Sep 27, 2017",0.185297,0.207687,0.185098,0.203299,"249,934,000","7,105,010,000"
"Sep 26, 2017",0.181968,0.191247,0.180085,0.186119,"70,000,700","6,977,340,000"
"Sep 25, 2017",0.175519,0.183665,0.174939,0.181487,"35,622,600","6,730,080,000"
"Sep 24, 2017",0.178175,0.178939,0.174165,0.175787,"20,566,500","6,831,900,000"
"Sep 23, 2017",0.173371,0.178672,0.171527,0.177882,"32,476,700","6,647,700,000"
"Sep 22, 2017",0.171567,0.175870,0.169291,0.173510,"37,244,700","6,578,530,000"
"Sep 21, 2017",0.180981,0.182109,0.171148,0.171754,"43,583,200","6,939,500,000"
"Sep 20, 2017",0.183710,0.186229,0.180333,0.182078,"34,521,600","7,044,160,000"
"Sep 19, 2017",0.189819,0.190680,0.181334,0.184041,"54,046,100","7,278,390,000"
"Sep 18, 2017",0.178309,0.190019,0.178309,0.189768,"88,397,900","6,837,060,000"
"Sep 17, 2017",0.178377,0.181121,0.171017,0.178393,"49,161,100","6,839,640,000"
"Sep 16, 2017",0.181925,0.187417,0.172279,0.179082,"84,495,200","6,975,690,000"
"Sep 15, 2017",0.165035,0.189184,0.150973,0.181358,"289,414,000","6,328,090,000"
"Sep 14, 2017",0.200427,0.202010,0.164167,0.164167,"152,533,000","7,685,140,000"
"Sep 13, 2017",0.209630,0.209674,0.196179,0.200778,"105,471,000","8,038,030,000"
"Sep 12, 2017",0.214860,0.220623,0.207608,0.209303,"94,519,500","8,238,550,000"
"Sep 11, 2017",0.212513,0.220057,0.210353,0.214441,"138,339,000","8,148,560,000"
"Sep 10, 2017",0.209606,0.216529,0.197605,0.213031,"117,091,000","8,037,080,000"
"Sep 09, 2017",0.211293,0.211892,0.206395,0.209995,"51,185,500","8,101,800,000"
"Sep 08, 2017",0.223615,0.224308,0.206103,0.211518,"151,329,000","8,574,260,000"
"Sep 07, 2017",0.226382,0.227210,0.219618,0.223640,"103,080,000","8,680,360,000"
"Sep 06, 2017",0.214951,0.226860,0.214805,0.226186,"163,297,000","8,242,060,000"
"Sep 05, 2017",0.205110,0.218674,0.190232,0.215189,"242,636,000","7,864,700,000"
"Sep 04, 2017",0.228781,0.228781,0.195960,0.204968,"239,613,000","8,772,340,000"
"Sep 03, 2017",0.227229,0.236443,0.218662,0.228811,"186,526,000","8,712,840,000"
"Sep 02, 2017",0.249348,0.249680,0.217774,0.226669,"329,928,000","9,560,940,000"
"Sep 01, 2017",0.255803,0.256162,0.243833,0.248479,"283,576,000","9,808,460,000"
