Date,Open,High,Low,Close,Volume,Market Cap
"Oct 03, 2017",3.91,4.01,3.38,3.81,"13,060,300","385,143,000"
"Oct 02, 2017",4.12,4.32,3.80,3.91,"8,607,690","406,341,000"
"Oct 01, 2017",4.47,4.52,4.09,4.13,"7,993,490","440,100,000"
"Sep 30, 2017",4.47,4.62,4.40,4.44,"6,061,940","440,203,000"
"Sep 29, 2017",4.78,4.88,4.39,4.47,"7,038,430","471,559,000"
"Sep 28, 2017",4.77,5.04,4.69,4.79,"7,847,200","469,867,000"
"Sep 27, 2017",4.40,4.84,4.36,4.77,"7,465,230","433,440,000"
"Sep 26, 2017",4.23,4.56,4.12,4.39,"6,399,530","416,859,000"
"Sep 25, 2017",3.98,4.29,3.96,4.25,"4,692,290","392,654,000"
"Sep 24, 2017",4.19,4.22,3.95,3.97,"2,751,840","412,920,000"
"Sep 23, 2017",3.94,4.32,3.88,4.23,"3,462,380","388,161,000"
"Sep 22, 2017",4.03,4.25,3.79,3.93,"4,174,410","397,230,000"
"Sep 21, 2017",4.73,4.78,3.91,4.03,"6,825,670","466,613,000"
"Sep 20, 2017",4.84,5.42,4.68,4.75,"8,585,630","476,755,000"
"Sep 19, 2017",5.35,5.37,4.80,4.85,"8,821,170","527,507,000"
"Sep 18, 2017",4.46,5.63,4.45,5.37,"12,693,200","439,359,000"
"Sep 17, 2017",4.39,4.66,4.05,4.44,"3,432,560","432,583,000"
"Sep 16, 2017",4.61,4.81,4.17,4.39,"4,687,280","454,539,000"
"Sep 15, 2017",3.80,4.67,3.04,4.62,"8,004,530","374,266,000"
"Sep 14, 2017",5.01,5.08,3.75,3.78,"6,121,560","494,028,000"
"Sep 13, 2017",5.51,5.53,4.56,5.01,"6,572,450","543,119,000"
"Sep 12, 2017",5.62,5.88,5.31,5.53,"8,270,520","553,334,000"
"Sep 11, 2017",5.86,6.09,5.52,5.60,"5,037,870","577,080,000"
"Sep 10, 2017",5.73,6.04,5.35,5.86,"8,637,120","564,937,000"
"Sep 09, 2017",5.72,5.79,5.50,5.76,"3,496,720","563,845,000"
