Date,Open,High,Low,Close,Volume,Market Cap
"Oct 03, 2017",4.87,5.00,4.67,4.73,"6,975,040","486,590,000"
"Oct 02, 2017",4.97,4.98,4.81,4.85,"7,422,400","497,344,000"
"Oct 01, 2017",5.03,5.05,4.84,4.97,"8,233,020","502,985,000"
"Sep 30, 2017",4.93,5.20,4.93,5.04,"7,480,680","493,143,000"
"Sep 29, 2017",4.77,5.04,4.39,4.93,"8,515,820","476,743,000"
"Sep 28, 2017",5.17,5.17,4.73,4.78,"8,795,790","516,674,000"
"Sep 27, 2017",4.77,5.19,4.77,5.17,"11,447,500","477,461,000"
"Sep 26, 2017",4.23,4.86,4.23,4.79,"7,713,420","422,807,000"
"Sep 25, 2017",3.97,4.30,3.92,4.23,"5,218,940","396,943,000"
"Sep 24, 2017",3.97,3.98,3.80,3.97,"5,012,110","396,513,000"
"Sep 23, 2017",3.76,3.99,3.71,3.97,"4,950,050","375,579,000"
"Sep 22, 2017",3.65,3.84,3.56,3.77,"2,723,740","365,050,000"
"Sep 21, 2017",4.05,4.08,3.57,3.64,"2,914,710","405,445,000"
"Sep 20, 2017",4.14,4.29,3.96,4.07,"3,910,370","413,510,000"
"Sep 19, 2017",4.36,4.38,4.00,4.16,"3,403,370","435,701,000"
"Sep 18, 2017",3.64,4.40,3.64,4.34,"4,080,300","363,799,000"
"Sep 17, 2017",3.77,3.81,3.49,3.64,"3,406,720","376,569,000"
"Sep 16, 2017",3.77,3.90,3.49,3.76,"4,499,490","377,410,000"
"Sep 15, 2017",3.12,3.94,2.80,3.78,"6,270,110","311,752,000"
"Sep 14, 2017",3.95,4.05,3.09,3.09,"4,470,510","394,740,000"
"Sep 13, 2017",4.36,4.36,3.75,3.95,"4,928,930","436,202,000"
"Sep 12, 2017",4.35,4.61,4.26,4.38,"5,306,860","434,806,000"
"Sep 11, 2017",4.44,4.57,4.16,4.35,"4,908,140","443,783,000"
"Sep 10, 2017",4.45,4.58,3.99,4.41,"5,469,690","444,828,000"
"Sep 09, 2017",4.51,4.59,4.37,4.46,"5,406,880","451,034,000"
"Sep 08, 2017",4.99,5.03,4.28,4.50,"5,899,500","498,706,000"
"Sep 07, 2017",5.10,5.13,4.90,4.98,"6,353,830","510,327,000"
"Sep 06, 2017",4.99,5.41,4.93,5.16,"6,069,650","499,259,000"
"Sep 05, 2017",4.68,5.10,4.32,4.98,"6,194,560","467,862,000"
"Sep 04, 2017",5.20,5.21,4.24,4.66,"8,324,540","519,570,000"
"Sep 03, 2017",5.27,5.50,4.99,5.20,"5,174,780","526,827,000"
"Sep 02, 2017",5.78,5.87,5.07,5.23,"6,608,910","577,688,000"
"Sep 01, 2017",5.95,6.10,5.72,5.74,"9,556,080","595,498,000"
"Aug 31, 2017",5.47,5.94,5.38,5.94,"9,471,090","546,851,000"
"Aug 30, 2017",5.44,5.49,5.13,5.48,"6,659,820","544,366,000"
"Aug 29, 2017",5.27,5.47,5.13,5.45,"7,581,710","527,066,000"
"Aug 28, 2017",5.22,5.41,5.02,5.26,"7,208,780","522,486,000"
"Aug 27, 2017",5.34,5.51,5.18,5.23,"7,212,980","534,242,000"
"Aug 26, 2017",5.28,5.74,5.11,5.32,"9,123,230","528,242,000"
"Aug 25, 2017",5.02,5.46,4.94,5.27,"9,306,450","502,380,000"
"Aug 24, 2017",4.63,5.02,4.55,5.02,"3,537,820","463,403,000"
"Aug 23, 2017",4.49,4.82,4.44,4.60,"2,989,630","449,053,000"
"Aug 22, 2017",4.38,4.74,3.81,4.46,"3,358,640","437,971,000"
"Aug 21, 2017",4.85,4.88,4.33,4.39,"4,064,960","485,218,000"
"Aug 20, 2017",4.43,4.92,4.29,4.86,"4,519,570","442,870,000"
"Aug 19, 2017",4.30,4.45,4.10,4.43,"3,801,000","429,611,000"
"Aug 18, 2017",4.57,4.73,4.10,4.30,"2,588,840","456,631,000"
"Aug 17, 2017",4.81,4.95,4.46,4.58,"2,609,230","481,390,000"
"Aug 16, 2017",4.80,4.96,4.58,4.83,"2,607,640","479,668,000"
"Aug 15, 2017",4.73,5.16,4.31,4.79,"5,107,560","473,033,000"
"Aug 14, 2017",4.83,5.04,4.54,4.72,"5,089,710","483,469,000"
"Aug 13, 2017",5.05,5.28,4.63,4.79,"5,823,330","504,705,000"
"Aug 12, 2017",5.58,5.58,4.89,5.05,"6,782,250","557,670,000"
"Aug 11, 2017",5.60,5.78,5.13,5.54,"7,567,900","560,241,000"
"Aug 10, 2017",5.24,5.63,5.15,5.60,"7,501,860","524,375,000"
"Aug 09, 2017",5.38,5.45,4.90,5.27,"4,960,110","538,244,000"
"Aug 08, 2017",5.64,5.83,5.04,5.41,"6,867,910","564,066,000"
"Aug 07, 2017",5.18,5.75,4.62,5.64,"7,792,050","518,233,000"
"Aug 06, 2017",4.32,5.37,4.29,5.21,"7,075,590","432,028,000"
"Aug 05, 2017",3.67,4.57,3.65,4.32,"4,831,480","367,228,000"
"Aug 04, 2017",3.87,4.13,3.59,3.67,"4,324,800","386,797,000"
"Aug 03, 2017",3.54,3.96,3.46,3.84,"4,766,700","354,471,000"
"Aug 02, 2017",3.02,3.60,2.96,3.51,"3,739,710","302,169,000"
"Aug 01, 2017",2.77,3.11,2.61,3.01,"3,257,400","277,390,000"
"Jul 31, 2017",2.74,2.87,2.62,2.78,"2,651,760","273,812,000"
"Jul 30, 2017",2.87,2.93,2.72,2.72,"1,530,680","286,809,000"
"Jul 29, 2017",2.98,3.06,2.69,2.87,"2,116,910","297,597,000"
"Jul 28, 2017",2.76,3.11,2.45,3.00,"3,030,820","276,459,000"
"Jul 27, 2017",2.74,2.84,2.60,2.75,"1,889,170","274,372,000"
"Jul 26, 2017",2.92,2.99,2.50,2.74,"3,013,790","291,623,000"
"Jul 25, 2017",3.52,3.56,2.76,2.91,"2,462,600","351,753,000"
"Jul 24, 2017",3.65,3.71,3.39,3.52,"1,813,130","364,582,000"
