Date,Open,High,Low,Close,Volume,Market Cap
"Nov 07, 2017",602.68,626.21,602.45,616.30,"375,367,000","10,105,200,000"
"Nov 06, 2017",630.31,657.34,602.65,602.65,"794,105,000","10,566,600,000"
"Nov 05, 2017",619.91,635.72,579.13,630.70,"816,028,000","10,390,900,000"
"Nov 04, 2017",635.35,642.05,571.12,620.45,"1,161,370,000","10,647,200,000"
"Nov 03, 2017",587.32,684.53,577.86,625.32,"1,682,210,000","9,839,760,000"
"Nov 02, 2017",527.68,610.39,514.52,587.22,"1,632,060,000","8,840,010,000"
"Nov 01, 2017",438.30,538.26,437.91,531.83,"1,152,230,000","7,342,250,000"
"Oct 31, 2017",449.37,454.07,431.76,439.05,"343,799,000","7,527,260,000"
"Oct 30, 2017",458.45,478.42,417.62,448.23,"796,409,000","7,679,000,000"
"Oct 29, 2017",420.47,526.12,408.40,451.92,"2,002,440,000","7,042,260,000"
"Oct 28, 2017",369.54,425.44,369.06,423.35,"781,037,000","6,183,520,000"
"Oct 27, 2017",338.30,372.81,338.24,367.57,"501,989,000","5,655,870,000"
"Oct 26, 2017",332.11,350.94,331.21,338.20,"234,967,000","5,550,700,000"
"Oct 25, 2017",326.59,334.38,320.38,332.13,"151,935,000","5,457,720,000"
"Oct 24, 2017",315.90,340.45,311.48,326.89,"267,442,000","5,278,410,000"
"Oct 23, 2017",330.67,332.28,309.87,315.60,"191,558,000","5,524,790,000"
"Oct 22, 2017",323.50,355.52,323.50,331.66,"355,546,000","5,405,020,000"
"Oct 21, 2017",326.75,328.45,317.46,323.36,"129,938,000","5,458,980,000"
"Oct 20, 2017",330.90,332.98,323.08,327.44,"160,204,000","5,527,860,000"
"Oct 19, 2017",339.27,339.27,326.27,330.81,"195,578,000","5,667,070,000"
"Oct 18, 2017",373.65,376.18,313.77,339.17,"477,184,000","6,240,990,000"
"Oct 17, 2017",313.70,394.96,309.64,371.73,"1,008,160,000","5,239,520,000"
"Oct 16, 2017",315.26,318.02,310.52,313.64,"117,797,000","5,265,400,000"
"Oct 15, 2017",322.42,323.59,307.68,314.95,"133,385,000","5,384,760,000"
"Oct 14, 2017",321.54,327.42,317.35,321.96,"164,137,000","5,369,720,000"
"Oct 13, 2017",314.15,323.08,304.38,321.46,"288,210,000","5,242,630,000"
"Oct 12, 2017",315.47,330.13,310.71,313.21,"262,066,000","5,262,390,000"
"Oct 11, 2017",320.20,321.26,312.13,314.90,"131,577,000","5,341,000,000"
"Oct 10, 2017",313.22,352.02,311.70,321.59,"367,809,000","5,224,170,000"
"Oct 09, 2017",342.76,342.76,289.04,314.16,"288,075,000","5,716,320,000"
"Oct 08, 2017",360.09,362.46,337.00,342.21,"203,754,000","6,004,940,000"
"Oct 07, 2017",363.60,364.88,356.06,360.78,"91,004,000","6,062,860,000"
"Oct 06, 2017",355.44,371.28,354.96,363.01,"182,031,000","5,926,540,000"
"Oct 05, 2017",358.42,371.19,348.45,355.75,"268,341,000","5,971,260,000"
"Oct 04, 2017",404.20,404.45,354.55,358.45,"251,584,000","6,729,640,000"
"Oct 03, 2017",421.79,421.79,395.74,404.18,"130,247,000","7,022,370,000"
"Oct 02, 2017",415.87,430.86,411.84,421.19,"219,590,000","6,921,580,000"
"Oct 01, 2017",433.38,436.94,415.15,415.15,"164,290,000","7,207,770,000"
"Sep 30, 2017",436.64,445.62,432.53,432.63,"150,565,000","7,258,880,000"
"Sep 29, 2017",447.66,447.92,426.99,436.77,"148,725,000","7,441,960,000"
"Sep 28, 2017",456.71,465.20,433.50,447.81,"300,421,000","7,592,000,000"
"Sep 27, 2017",441.86,460.00,439.41,457.31,"197,885,000","7,343,490,000"
