Date,Open,High,Low,Close,Volume,Market Cap
"Nov 07, 2017",6.52,6.67,6.16,6.33,"17,428,900","665,398,000"
"Nov 06, 2017",6.28,6.68,6.22,6.48,"21,223,900","617,414,000"
"Nov 05, 2017",6.44,6.49,6.17,6.29,"12,819,400","633,214,000"
"Nov 04, 2017",6.72,6.77,6.38,6.45,"16,963,100","660,838,000"
"Nov 03, 2017",6.23,6.78,6.15,6.73,"27,548,300","612,383,000"
"Nov 02, 2017",6.05,6.67,5.55,6.23,"55,264,500","594,839,000"
"Nov 01, 2017",6.83,6.96,6.05,6.05,"37,953,700","671,068,000"
"Oct 31, 2017",7.23,7.29,6.84,6.84,"21,797,300","710,488,000"
"Oct 30, 2017",7.28,7.40,7.13,7.25,"14,224,900","715,973,000"
"Oct 29, 2017",7.16,7.44,7.15,7.30,"18,076,000","703,486,000"
"Oct 28, 2017",7.49,7.54,7.17,7.18,"17,242,600","736,331,000"
"Oct 27, 2017",7.65,8.12,7.42,7.46,"28,704,900","751,745,000"
"Oct 26, 2017",7.66,7.80,7.48,7.65,"19,134,300","752,636,000"
"Oct 25, 2017",8.12,8.14,7.56,7.62,"20,363,000","798,130,000"
"Oct 24, 2017",7.59,8.70,7.38,8.13,"54,151,300","746,181,000"
"Oct 23, 2017",7.65,7.66,7.12,7.61,"17,684,200","752,139,000"
"Oct 22, 2017",7.37,7.78,7.36,7.67,"19,588,000","724,177,000"
"Oct 21, 2017",7.31,7.46,6.99,7.37,"19,448,800","718,401,000"
"Oct 20, 2017",7.90,7.91,7.29,7.31,"20,554,400","776,825,000"
"Oct 19, 2017",7.82,8.08,7.68,7.92,"14,064,200","769,045,000"
"Oct 18, 2017",7.97,8.08,7.66,7.84,"20,915,200","783,502,000"
"Oct 17, 2017",7.86,8.24,7.69,7.99,"23,177,500","772,486,000"
"Oct 16, 2017",8.00,8.10,7.60,7.85,"19,951,300","786,681,000"
"Oct 15, 2017",8.03,8.24,7.67,7.97,"23,508,300","789,379,000"
"Oct 14, 2017",8.31,8.38,7.99,8.03,"20,284,600","816,802,000"
"Oct 13, 2017",8.19,8.68,7.98,8.30,"33,908,900","805,549,000"
"Oct 12, 2017",9.26,9.53,8.18,8.20,"49,996,900","910,544,000"
"Oct 11, 2017",8.12,9.42,8.12,9.26,"57,741,200","798,713,000"
"Oct 10, 2017",7.49,8.39,7.28,8.09,"27,542,200","736,231,000"
"Oct 09, 2017",7.78,8.10,7.03,7.50,"34,823,600","765,067,000"
"Oct 08, 2017",8.54,8.61,7.62,7.70,"27,120,900","839,543,000"
"Oct 07, 2017",8.66,8.69,8.14,8.54,"18,207,700","851,803,000"
"Oct 06, 2017",8.82,8.89,8.49,8.66,"13,957,500","866,972,000"
"Oct 05, 2017",8.67,8.97,8.23,8.80,"19,715,100","852,239,000"
"Oct 04, 2017",9.26,9.27,8.60,8.66,"19,933,100","909,963,000"
"Oct 03, 2017",9.19,9.27,8.53,9.24,"35,595,500","903,903,000"
"Oct 02, 2017",9.82,9.99,9.07,9.20,"36,673,900","965,225,000"
"Oct 01, 2017",10.11,10.15,9.57,9.82,"21,494,500","994,233,000"
"Sep 30, 2017",9.74,10.27,9.68,10.12,"26,871,400","957,899,000"
"Sep 29, 2017",10.47,10.58,9.19,9.75,"51,306,900","1,029,050,000"
"Sep 28, 2017",10.35,11.48,10.07,10.49,"66,693,200","1,017,090,000"
"Sep 27, 2017",9.78,10.52,9.77,10.34,"38,915,800","961,863,000"
"Sep 26, 2017",10.01,10.27,9.69,9.76,"26,920,700","984,356,000"
"Sep 25, 2017",8.66,10.38,8.63,10.00,"59,857,600","851,863,000"
"Sep 24, 2017",9.01,9.12,8.53,8.66,"19,730,500","885,388,000"
"Sep 23, 2017",8.66,9.36,8.43,9.03,"28,436,100","851,587,000"
"Sep 22, 2017",8.13,8.96,7.93,8.65,"42,277,500","799,239,000"
"Sep 21, 2017",9.12,9.39,7.75,8.12,"51,911,500","897,056,000"
"Sep 20, 2017",9.92,9.95,9.11,9.11,"36,072,700","975,691,000"
"Sep 19, 2017",11.00,11.03,9.68,9.92,"38,392,200","1,081,420,000"
"Sep 18, 2017",9.88,11.34,9.88,10.98,"54,086,300","971,499,000"
"Sep 17, 2017",9.90,10.31,8.98,9.87,"40,154,600","973,696,000"
"Sep 16, 2017",9.96,10.65,9.34,9.93,"66,155,100","979,204,000"
"Sep 15, 2017",8.13,10.39,6.57,9.95,"156,528,000","798,813,000"
"Sep 14, 2017",10.58,11.06,7.67,8.08,"95,558,500","1,040,220,000"
"Sep 13, 2017",11.68,11.70,9.55,10.61,"85,896,500","1,148,450,000"
